"","name","clust","dist"
"1","AFKS",2,235.045496564053
"2","AFLT",3,203.31077240788
"3","AKRN",4,305.846694718657
"4","ALRS",2,344.358294759525
"5","AMEZ",4,369.676652792719
"6","APTK",2,299.338461369103
"7","AQUA",4,173.384886133258
"8","ARSA",4,157.653672758522
"9","ASSB",1,366.860579276306
"10","AVAN",1,238.068482342803
"11","BANE",3,215.680954886138
"12","BELU",1,126.588648073676
"13","BLNG",4,137.356370162427
"14","BRZL",1,372.246307388322
"15","BSPB",4,247.416154955483
"16","CBOM",1,332.708947002581
"17","CHKZ",4,539.707142221776
"18","CHMF",2,391.766144639512
"19","CHMK",4,152.301038712272
"20","CNTL",3,211.546512524271
"21","DIOD",1,129.637404641537
"22","DSKY",2,240.632799151985
"23","DVEC",4,432.616211827572
"24","DZRD",3,220.383575176924
"25","FEES",2,319.832228649395
"26","FESH",4,280.896038639192
"27","GAZA",2,222.107474535467
"28","GAZP",2,578.908324199285
"29","GCHE",4,77.8923742647828
"30","GEMA",4,265.270542714736
"31","GMKN",2,293.5025701438
"32","GTRK",3,283.251790934206
"33","HYDR",1,310.244520791434
"34","IGST",4,270.867769312732
"35","IRAO",2,341.844631811609
"36","ISKJ",4,102.15801289414
"37","JNOS",2,158.577677664835
"38","KAZT",4,241.376354146308
"39","KBSB",4,439.691113936836
"40","KCHE",2,286.264742577969
"41","KGKC",3,174.438661408484
"42","KLSB",3,326.906859417241
"43","KMAZ",4,0
"44","KMEZ",1,97.6523312019493
"45","KOGK",2,185.145239184709
"46","KRKN",2,246.318276395762
"47","KROT",3,727.375389771211
"48","KRSB",1,174.481195317635
"49","KTSB",2,344.379580160522
"50","KUBE",3,251.928453335997
"51","KUZB",1,527.486458965065
"52","LIFE",3,353.900298655235
"53","LKOH",2,316.034362005644
"54","LPSB",4,362.997571834573
"55","LSNG",4,320.866515291565
"56","LSRG",2,202.477294773904
"57","LVHK",1,171.624247263182
"58","MAGE",2,360.829100873465
"59","MAGN",2,301.82603131803
"60","MFGS",3,308.567939175914
"61","MGNT",1,304.249925473393
"62","MGTS",3,320.022770288421
"63","MISB",1,331.28563152436
"64","MOEX",2,240.941755259654
"65","MRKC",2,261.302499187503
"66","MRKK",2,302.251281454726
"67","MRKP",2,251.724991506137
"68","MRKS",2,344.412805292301
"69","MRKU",4,497.171682364085
"70","MRKV",3,240.968542861338
"71","MRKY",3,173.025757773201
"72","MRKZ",2,179.686737254334
"73","MRSB",2,350.35462222182
"74","MSNG",2,325.777835372056
"75","MSRS",2,0
"76","MSTT",3,402.006090111336
"77","MTLR",4,137.648158152965
"78","MTSS",2,232.217043631814
"79","MVID",2,207.128811112114
"80","NAUK",3,508.687910618683
"81","NFAZ",1,205.335111933605
"82","NKHP",1,152.914365765554
"83","NKNC",4,535.367408491547
"84","NKSH",4,618.386366877366
"85","NLMK",2,306.022215012071
"86","NMTP",3,213.053198336896
"87","NNSB",1,289.615233506126
"88","NSVZ",3,0
"89","NVTK",2,282.950792318175
"90","OGKB",2,268.21961274531
"91","PAZA",3,191.196730904468
"92","PHOR",4,288.214117129879
"93","PIKK",1,256.61295398123
"94","PLZL",2,280.230251082167
"95","PMSB",2,415.193868681349
"96","POLY",2,290.470094631452
"97","PRMB",1,160.405078734302
"98","RASP",4,142.399025141813
"99","RBCM",2,255.35665473158
"100","RGSS",2,352.05761962431
"101","RNFT",3,468.073848442236
"102","ROLO",1,170.062751895145
"103","ROSB",4,521.495464614388
"104","ROSN",2,251.406520632773
"105","ROST",2,295.380718625238
"106","RTGZ",2,382.277365609712
"107","RTKM",2,194.152329632802
"108","RTSB",1,406.531440519067
"109","RUAL",4,307.953306293172
"110","RUSI",1,217.040839462486
"111","RZSB",1,127.062243063741
"112","SAGO",4,220.069405199939
"113","SARE",2,387.840348817907
"114","SBER",2,202.318127788725
"115","SELG",1,247.492207474144
"116","SIBN",4,308.999010900608
"117","SLEN",2,371.259182773348
"118","SNGS",3,261.488765356295
"119","STSB",1,217.238691929333
"120","SVAV",3,298.631496570892
"121","TASB",1,208.710048183954
"122","TATN",3,334.876979416285
"123","TGKA",3,232.762275892021
"124","TGKB",2,417.255001114592
"125","TGKN",3,266.248667319652
"126","TNSE",3,336.375660728181
"127","TORS",3,136.896220711958
"128","TRMK",1,279.207634052463
"129","TTLK",1,0
"130","UCSS",3,396.617227408946
"131","UKUZ",4,175.52023301657
"132","UNAC",4,415.346344216169
"133","UNKL",1,227.979430667743
"134","UPRO",2,287.233888056316
"135","URKZ",1,364.108826169903
"136","USBN",4,524.334669768015
"137","UTAR",4,375.745273938641
"138","VGSB",1,328.885134810158
"139","VJGZ",1,137.671536451691
"140","VLHZ",1,289.819391996151
"141","VRSB",4,152.410110883514
"142","VSMO",4,349.621898651628
"143","VSYD",1,394.510770759918
"144","VTBR",2,345.517656478891
"145","WTCM",2,220.576499673592
"146","YAKG",1,158.569122428797
"147","YKEN",2,228.568370054856
"148","YNDX",2,200.834044589395
"149","YRSB",1,241.042337646682
"150","ZILL",1,286.159661261841
"151","ZVEZ",3,146.001815974871
